tool,id,filename,haverace,threads,dataset,races,elapsed-time(seconds),used-mem(KBs),compile-return,runtime-return
openrace,001,"DRB001-antidep1-orig-yes.c",true,8,N/A,1,,,0,0
openrace,002,"DRB002-antidep1-var-yes.c",true,8,32,1,,,0,0
openrace,003,"DRB003-antidep2-orig-yes.c",true,8,N/A,1,,,0,0
openrace,004,"DRB004-antidep2-var-yes.c",true,8,32,0,,,0,0
openrace,005,"DRB005-indirectaccess1-orig-yes.c",true,8,N/A,1,,,0,0
openrace,006,"DRB006-indirectaccess2-orig-yes.c",true,8,N/A,1,,,0,0
openrace,007,"DRB007-indirectaccess3-orig-yes.c",true,8,N/A,1,,,0,0
openrace,008,"DRB008-indirectaccess4-orig-yes.c",true,8,N/A,1,,,0,0
openrace,009,"DRB009-lastprivatemissing-orig-yes.c",true,8,N/A,1,,,0,0
openrace,010,"DRB010-lastprivatemissing-var-yes.c",true,8,32,1,,,0,0
openrace,011,"DRB011-minusminus-orig-yes.c",true,8,N/A,1,,,0,0
openrace,012,"DRB012-minusminus-var-yes.c",true,8,32,1,,,0,0
openrace,014,"DRB014-outofbounds-orig-yes.c",true,8,N/A,0,,,0,0
openrace,015,"DRB015-outofbounds-var-yes.c",true,8,32,0,,,0,0
openrace,016,"DRB016-outputdep-orig-yes.c",true,8,N/A,1,,,0,0
openrace,017,"DRB017-outputdep-var-yes.c",true,8,32,1,,,0,0
openrace,018,"DRB018-plusplus-orig-yes.c",true,8,N/A,1,,,0,0
openrace,019,"DRB019-plusplus-var-yes.c",true,8,32,1,,,0,0
openrace,020,"DRB020-privatemissing-var-yes.c",true,8,32,1,,,0,0
openrace,021,"DRB021-reductionmissing-orig-yes.c",true,8,N/A,1,,,0,0
openrace,022,"DRB022-reductionmissing-var-yes.c",true,8,32,1,,,0,0
openrace,024,"DRB024-simdtruedep-orig-yes.c",true,8,N/A,0,,,0,0
openrace,025,"DRB025-simdtruedep-var-yes.c",true,8,32,0,,,0,0
openrace,026,"DRB026-targetparallelfor-orig-yes.c",true,8,N/A,1,,,0,0
openrace,028,"DRB028-privatemissing-orig-yes.c",true,8,N/A,1,,,0,0
openrace,029,"DRB029-truedep1-orig-yes.c",true,8,N/A,1,,,0,0
openrace,030,"DRB030-truedep1-var-yes.c",true,8,32,1,,,0,0
openrace,031,"DRB031-truedepfirstdimension-orig-yes.c",true,8,N/A,0,,,0,0
openrace,032,"DRB032-truedepfirstdimension-var-yes.c",true,8,32,0,,,0,0
openrace,033,"DRB033-truedeplinear-orig-yes.c",true,8,N/A,1,,,0,0
openrace,034,"DRB034-truedeplinear-var-yes.c",true,8,32,1,,,0,0
openrace,035,"DRB035-truedepscalar-orig-yes.c",true,8,N/A,1,,,0,0
